depth,p,n,real,b,ivn_max,ir2_max,a_at_max
4,0.02,12,25,1,2.582042246277041,3.0672389915506297,6
4,0.02,12,25,2,1.4641572620592207,1.8525482172236867,5
4,0.02,12,25,3,0.8451306538584769,1.0046061226826222,4
4,0.02,12,25,4,0.07059377604108619,0.027292693594580086,4
4,0.02,12,25,5,0.00767162416848155,0.0008047666402308806,2
4,0.02,12,25,6,0.0011155397729556427,4.036129715867531e-05,2
4,0.02,12,25,7,3.857101335746904e-05,7.264217316560462e-08,2
4,0.02,12,25,8,3.0371745491919455e-06,1.7017534048591187e-09,3
4,0.02,12,25,9,3.9700268139597483e-07,4.489919547268073e-11,2
4,0.02,12,25,10,3.552713678800501e-15,1.7763568394002505e-15,1
4,0.02,12,26,1,2.900754075448697,3.711749114155129,9
4,0.02,12,26,2,1.6032815872715283,1.9808259813287954,9
4,0.02,12,26,3,0.8208198909650637,0.9776212350473963,8
4,0.02,12,26,4,0.10775126620398989,0.07781023605125803,6
4,0.02,12,26,5,0.015590051350677037,0.002388771672673151,6
4,0.02,12,26,6,0.0010847335829424765,5.6495600531114576e-05,4
4,0.02,12,26,7,0.00027033059022230077,1.2587511806216867e-06,3
4,0.02,12,26,8,7.712436198303863e-05,2.809301751227622e-07,2
4,0.02,12,26,9,6.6331525498952715e-06,2.7475941521970526e-09,1
4,0.02,12,26,10,5.932090108018429e-07,8.179235067018453e-11,1
4,0.02,12,27,1,4.415434634466365,5.505121607325577,8
4,0.02,12,27,2,2.9837958414172583,3.7176934610282295,6
4,0.02,12,27,3,1.552657558250024,1.9467654727740147,6
4,0.02,12,27,4,0.13876102194127782,0.13028408913655465,6
4,0.02,12,27,5,0.04206059237896831,0.02543031402978091,4
4,0.02,12,27,6,0.016356751772029554,0.002686335701137743,4
4,0.02,12,27,7,0.000847653405536164,4.8238791050536634e-05,3
4,0.02,12,27,8,0.00010654147838273786,1.6543747740627168e-06,3
4,0.02,12,27,9,5.64183057782941e-06,6.119398321402514e-09,1
4,0.02,12,27,10,4.535187230203519e-07,1.368309909821619e-10,1
4,0.02,12,28,1,2.502467136122405,3.024817029787883,1
4,0.02,12,28,2,1.1087964294934807,1.221960749067959,2
4,0.02,12,28,3,0.1260082244910743,0.04940831629446496,1
4,0.02,12,28,4,0.027162110461588895,0.019351629630851797,1
4,0.02,12,28,5,0.008473027457781335,0.0008698510807425563,1
4,0.02,12,28,6,0.0006929384467975197,2.445057953259777e-05,1
4,0.02,12,28,7,0.0001345963210059864,1.0980315430231258e-06,1
4,0.02,12,28,8,1.5252692806555501e-05,6.491893067561705e-08,2
4,0.02,12,28,9,6.030416098923297e-06,1.3792663011713557e-08,1
4,0.02,12,28,10,5.443547195227438e-07,1.0009770790020411e-10,1
4,0.02,12,29,1,3.607202003078066,4.566956440597649,8
4,0.02,12,29,2,2.4130898320406162,2.9075980825570715,7
4,0.02,12,29,3,0.9638690180758873,1.102940392393477,7
4,0.02,12,29,4,0.17042266993628008,0.11733062094294766,5
4,0.02,12,29,5,0.026221542440015178,0.0024008282048679774,4
4,0.02,12,29,6,0.008055686618646085,0.0009375793252344167,5
4,0.02,12,29,7,0.0010318270940201657,1.4572335491180866e-05,2
4,0.02,12,29,8,0.00039850930849549826,1.6672602782819013e-06,1
4,0.02,12,29,9,3.754328673455376e-05,1.6771798705406127e-07,2
4,0.02,12,29,10,1.4354079909573159e-05,1.8379868294005064e-08,1
4,0.02,12,30,1,3.13761253780003,3.854552791226954,5
4,0.02,12,30,2,1.1461988693115748,1.2422622882810668,5
4,0.02,12,30,3,0.14316736480956482,0.0965255047493212,3
4,0.02,12,30,4,0.02020687237262475,0.003246100885679226,3
4,0.02,12,30,5,0.00277987684314418,0.00014319494935843835,5
4,0.02,12,30,6,0.0004386265046472104,4.812172574197859e-06,5
4,0.02,12,30,7,6.814377609654088e-05,2.752233498881651e-07,4
4,0.02,12,30,8,9.13708246930156e-06,8.289463337973757e-09,3
