depth,p,a,b,ivn_mean,ivn_sem,ir2_mean,ir2_sem,nreps
4,0.01,3,3,0.2935432798434901,0.022377363951372412,0.2829684900282941,0.025570558252422243,334
4,0.02,3,3,0.30103816981463083,0.01929441970894969,0.3196230263032375,0.024540095150419182,334
4,0.05,3,3,0.25085778108145057,0.012631630999376555,0.41582016800029836,0.021904297224253452,334
4,0.01,3,4,0.02596772941584174,0.0014561059377755654,0.008915642468542873,0.0008207956910595499,334
4,0.02,3,4,0.0393786212274227,0.0021059011713209174,0.019534448133632993,0.001619040321709314,334
4,0.05,3,4,0.04700704565901243,0.002443868480269841,0.06165586788264518,0.0038638349242393734,334
4,0.01,3,5,0.005495110232578381,0.0003651025877413661,0.0008172753736204239,0.0001691978071187499,334
4,0.02,3,5,0.009291274359936727,0.0005517761030484593,0.002156721837721811,0.00033694290088610905,334
4,0.05,3,5,0.012433661795861362,0.0006467115506943221,0.010822262806108601,0.0009023163077296784,334
4,0.01,3,6,0.0008493212814479541,8.993385952412749e-05,2.720974607980249e-05,4.704494431909437e-06,334
4,0.02,3,6,0.0017507464021555563,0.00015516339270217296,0.00013335393211197217,1.976658473089065e-05,334
4,0.05,3,6,0.0029557583659162133,0.00022100903660038886,0.0014965789537124924,0.00014668194427765855,334
4,0.01,3,7,0.00010073089214731408,1.041514746019577e-05,1.3323374694897413e-06,4.2227584456521895e-07,334
4,0.02,3,7,0.00026730752254900515,2.2791562638473754e-05,8.674186466341301e-06,1.9419047602295217e-06,334
4,0.05,3,7,0.0005659651887550076,4.070328575339242e-05,0.00018361665559417297,2.109623046925678e-05,334
4,0.01,3,8,1.738868865391641e-05,2.3050270588626515e-06,6.671358010800656e-08,2.1981815755986115e-08,334
4,0.02,3,8,5.5636636544347133e-05,6.127618590329669e-06,7.146641696741443e-07,1.9600004128276247e-07,334
4,0.05,3,8,0.00014480975552311404,1.332461497901856e-05,2.8486087673797585e-05,4.3600157415146615e-06,334
4,0.01,4,1,2.613076168705613,0.052408267790643955,2.915472514371083,0.05973544372053899,334
4,0.02,4,1,2.2956067671706686,0.04468627243697492,2.8469492630280495,0.05671991967543644,334
4,0.05,4,1,1.5113691938989862,0.027909512360077462,2.565295441751791,0.04723732571907477,334
4,0.01,4,2,1.1718871641296016,0.04211951446572465,1.2616018339989659,0.04776820793232324,334
4,0.02,4,2,1.0789649851685266,0.03626703070196087,1.2874602401391788,0.04561925333895662,334
4,0.05,4,2,0.7694212802686641,0.023340620747628115,1.305475539018745,0.03922200416813671,334
4,0.01,4,3,0.29544051530474286,0.022491503142383996,0.2833039213515476,0.025616001485467086,334
4,0.02,4,3,0.30454976011696605,0.019472832011678747,0.32042997940840234,0.02463494079335656,334
4,0.05,4,3,0.2562053158033987,0.012855954010121488,0.41974302236636246,0.02218393181688049,334
4,0.01,4,4,0.02617198134508743,0.001465301269383339,0.008919567693906446,0.000821129261752432,334
4,0.02,4,4,0.03987319068653513,0.002125361366518016,0.019556967059402665,0.0016208083553548673,334
4,0.05,4,4,0.047963479911603706,0.0024740116734455362,0.06202836338161259,0.00388528610915137,334
4,0.01,4,5,0.005526618847686499,0.0003669407642013209,0.0008173760305976416,0.000169203743582132,334
4,0.02,4,5,0.009389210679442433,0.0005570146358357349,0.0021578702605674193,0.00033701351087756475,334
4,0.05,4,5,0.012680405263764249,0.0006585763503729016,0.01087088128893446,0.000905135950745978,334
4,0.01,4,6,0.0008528352861809946,9.009036526602333e-05,2.7211694402109704e-05,4.704703792048703e-06,334
4,0.02,4,6,0.0017645637822035598,0.0001557245710884637,0.00013339948825580615,1.9770697357602262e-05,334
4,0.05,4,6,0.002998373876133134,0.00022248921643017812,0.0015016733919392077,0.00014698340226324775,334
4,0.01,5,1,2.622228620170073,0.05266118942018708,2.9171602911027055,0.059797578056747284,334
4,0.02,5,1,2.3105037000415902,0.045069136235778504,2.85119372519966,0.056868478919133915,334
4,0.05,5,1,1.5303089094023983,0.028335314228494352,2.584327745740967,0.047807290453328585,334
4,0.01,5,2,1.1735819596324366,0.04219098368189486,1.2617696317639577,0.04778123296793454,334
4,0.02,5,2,1.082242483552623,0.03639217303732839,1.2879461958396445,0.04565162469051223,334
4,0.05,5,2,0.7746490413754882,0.023520354771068504,1.308772525764243,0.03937533222484642,334
4,0.01,5,3,0.2956233659543864,0.022498470861987405,0.2833067237554614,0.025616202027000858,334
4,0.02,5,3,0.3050097373222059,0.01948830756401762,0.3204473793808896,0.024636020147861048,334
4,0.05,5,3,0.2571247571949158,0.012883602668539728,0.4200746701356214,0.022198648612617174,334
4,0.01,5,4,0.026202800534194833,0.0014673354087176092,0.008919673708754305,0.0008211398407173584,334
4,0.02,5,4,0.03996795055880342,0.0021311416379752226,0.019558154371177087,0.0016209156592099806,334
4,0.05,5,4,0.04819812304243532,0.002487197028745903,0.06207640646894415,0.0038885919501474592,334
